Project Title,City,State,ZIP,Award,Location
Regional Education Center #6,Portales,NM,88130,u215x100074,"Portales, NM 88130
(34.13, -103.31)"
St. Clair County Board of Education,Ashville,AL,35953,u215x100075,"Ashville, AL 35953
(33.81, -86.23)"
Richland County School District One,Columbia,SC,29201,u215x100076,"Columbia, SC 29201
(33.98, -81.03)"
Pontiac Township High School District 90,Pontiac,IL,61764,u215x100077,"Pontiac, IL 61764
(40.88, -88.63)"
Paris Indpendent Board of Education,Paris,KY,40361,u215x100080,"Paris, KY 40361
(38.21, -84.23)"
Guilford County Schools,Greensboro,NC,27401,u215x100083,"Greensboro, NC 27401
(36.07, -79.77)"
Wattsburg Area School District,Erie,PA,16509,u215x100084,"Erie, PA 16509
(42.06, -80.04)"
REGIONAL SCHOOL DISTRICT # 1,BATH,ME,4530,u215x100085,"BATH, ME 4530
(43.89, -69.83)"
Great Valley School District,Malvern,PA,19355,u215x100086,"Malvern, PA 19355
(40.05, -75.53)"
Cleveland Municipal School District,Cleveland,OH,44114,u215x100087,"Cleveland, OH 44114
(41.51, -81.68)"
Spartanburg District 1 Schools,Campobello,SC,29322,u215x100088,"Campobello, SC 29322
(35.12, -82.13)"
Jackson County Board Of Education -- WRESA,Sylva,NC,28779,u215x100091,"Sylva, NC 28779
(35.37, -83.21)"
Tupelo Public School District,Tupelo,MS,38802,u215x100094,"Tupelo, MS 38802
(34.26, -88.73)"
Halifax County Public Schools,Halifax,VA,24558,u215x100095,"Halifax, VA 24558
(36.79, -78.96)"
Garden Grove Unified School District,Garden Grove,CA,92840,u215x100097,"Garden Grove, CA 92840
(33.79, -117.93)"
Milwaukee Public Schools,Milwaukee,WI,53208,u215x100098,"Milwaukee, WI 53208
(43.05, -87.97)"
Topeka Public School USD 501,Topeka,KS,66611,u215x100100,"Topeka, KS 66611
(39.02, -95.7)"
Hellgate Elementary School District #4,Misssoula,MT,59808,u215x100101,"Misssoula, MT 59808
(46.98, -114.1)"
Montgomery County Public Schools,Christiansburg,VA,24073,u215x100102,"Christiansburg, VA 24073
(37.13, -80.42)"
Hays CISD,Kyle,TX,78640,u215x100104,"Kyle, TX 78640
(29.99, -97.83)"
Antioch Unified School District,Antioch,CA,94509,u215x100105,"Antioch, CA 94509
(37.99, -121.81)"
Portland Public Schools,Portland,ME,4103,u215x100106,"Portland, ME 4103
(43.69, -70.29)"
Andover Public Schools,Andover,MA,1810,u215x100107,"Andover, MA 1810
(42.65, -71.16)"
North Central Educational Service District 171,Wenatchee,WA,98801,u215x100108,"Wenatchee, WA 98801
(47.43, -120.35)"
Frenship ISD,Wolfforth,TX,79382,u215x100109,"Wolfforth, TX 79382
(33.46, -102.02)"
Pueblo County School District 70,Pueblo,CO,81006,u215x100110,"Pueblo, CO 81006
(38.27, -104.44)"
Riverside County Office of Education,Riverside,CA,92502,u215x100111,"Riverside, CA 92502
(33.94, -117.4)"
Greater Lawrence Educational Collaborative,Methuen,MA,1844,u215x100112,"Methuen, MA 1844
(42.73, -71.19)"
Putnam County Educational Service Cente,Ottawa,OH,45875,u215x100113,"Ottawa, OH 45875
(41.02, -84.07)"
Richmond County Board of Education,Augusta,GA,30901,u215x100114,"Augusta, GA 30901
(33.43, -81.96)"
Middle Georgia RESA,Macon,GA,31206,u215x100115,"Macon, GA 31206
(32.79, -83.68)"
Clinton County School District,Albany,KY,42602,u215x100116,"Albany, KY 42602
(36.73, -85.13)"
Scott County Board of Education,Georgetown,KY,40324,u215x100117,"Georgetown, KY 40324
(38.25, -84.55)"
Gallia-Vinton Educational Service Center,Rio Grande,OH,45674,u215x100119,"Rio Grande, OH 45674
(38.88, -82.38)"
Neptune Township School District,Neptune,NJ,7753,u215x100120,"Neptune, NJ 7753
(40.21, -74.08)"
Cliffside Park School District,Cliffside Park,NJ,7010,u215x100123,"Cliffside Park, NJ 7010
(40.82, -73.99)"
Sheffield City Schools,Sheffield,AL,35660,u215x100124,"Sheffield, AL 35660
(34.76, -87.7)"
Nassau County Board of Cooperative Educational Services (BOCES),Garden City,NY,11530,u215x100125,"Garden City, NY 11530
(40.73, -73.63)"
North Central Ohio Educational Service Center,Tiffin,OH,44883,u215x100128,"Tiffin, OH 44883
(41.12, -83.17)"
Volusia County School District,DeLand,FL,32720,u215x100129,"DeLand, FL 32720
(29.04, -81.39)"
Nebo School District,Spanish Fork,UT,84660,u215x100130,"Spanish Fork, UT 84660
(40.05, -111.64)"
Education Connection,Litchfield,CT,6759,u215x100131,"Litchfield, CT 6759
(41.76, -73.21)"
Educational Service District 112,Vancouver,WA,98661,u215x100132,"Vancouver, WA 98661
(45.64, -122.63)"
McLean County Unit District No. 5,Normal,IL,61761,u215x100133,"Normal, IL 61761
(40.53, -88.97)"
Bloomfield Public Schools,Bloomfield,NJ,7003,u215x100135,"Bloomfield, NJ 7003
(40.81, -74.19)"
Barren County Board of Education,Glasgow,KY,42141,u215x100137,"Glasgow, KY 42141
(36.95, -85.91)"
Poudre School District,Fort Collins,CO,80521,u215x100138,"Fort Collins, CO 80521
(40.59, -105.13)"
