Project Title,City,State,ZIP,Award,Location
Columbus City Schools,Columbus,OH,43215,u215x100338,"Columbus, OH 43215
(39.97, -83.01)"
Kirksville R-III School District,Kirksville,MO,63501,u215x100339,"Kirksville, MO 63501
(40.16, -92.59)"
Broome-Delaware-Tioga BOCES,Binghamton,NY,13905,u215x100340,"Binghamton, NY 13905
(42.18, -75.94)"
Bellmore-Merrick Central High School District,North Merrick,NY,11566,u215x100343,"North Merrick, NY 11566
(40.66, -73.56)"
Round Rock Independent School District,Round Rock,TX,78681,u215x100344,"Round Rock, TX 78681
(30.53, -97.72)"
Union County Public Schools,Monroe,NC,28112,u215x100345,"Monroe, NC 28112
(34.89, -80.54)"
Providence School District,Providence,RI,2903,u215x100346,"Providence, RI 2903
(41.82, -71.41)"
NORTHWEST TRI-COUNTY INTERMEDIATE UNIT,EDINBORO,PA,16412,u215x100347,"EDINBORO, PA 16412
(41.88, -80.17)"
Ottawa Area Intermediate School District,Holland,MI,49424,u215x100349,"Holland, MI 49424
(42.85, -86.12)"
School Board of Collier County,Naples,FL,34109,u215x100350,"Naples, FL 34109
(26.24, -81.76)"
New Hope Academy Charter School,York,PA,17401,u215x100351,"York, PA 17401
(39.96, -76.73)"
School District of the City of Pontiac,Pontiac,MI,48342,u215x100352,"Pontiac, MI 48342
(42.64, -83.27)"
Pocono Mountain School District,Swiftwater,PA,18370,u215x100353,"Swiftwater, PA 18370
(41.09, -75.33)"
Bucks County Schools Intermediate Unit # 22,Doylestown,PA,18901,u215x100354,"Doylestown, PA 18901
(40.33, -75.12)"
Clear Creek Independent School District,League City,TX,77573,u215x100355,"League City, TX 77573
(29.5, -95.09)"
Delsea Regional HS District,Franklinville,NJ,8322,u215x100356,"Franklinville, NJ 8322
(39.61, -75.03)"
New Hanover County School District,Wilmington,NC,28412,u215x100357,"Wilmington, NC 28412
(34.14, -77.92)"
Jackson School District,Jackson,NJ,8527,u215x100358,"Jackson, NJ 8527
(40.11, -74.34)"
Seneca Highlands Intermediate Unit,Smethport,PA,16749,u215x100359,"Smethport, PA 16749
(41.76, -78.43)"
Appalachia Intermediate Unit 8,Altoona,PA,16602,u215x100361,"Altoona, PA 16602
(40.52, -78.37)"
Reynoldsburg City School District,Reynoldsburg,OH,43068,u215x100362,"Reynoldsburg, OH 43068
(39.96, -82.78)"
Currituck County Schools,Currituck,NC,27929,u215x100368,"Currituck, NC 27929
(36.43, -75.99)"
Vigo County School Corporation,Terre Haute,IN,47803,u215x100369,"Terre Haute, IN 47803
(39.46, -87.31)"
Mission Consolidated Independent School,Mission,TX,78572,u215x100370,"Mission, TX 78572
(26.27, -98.42)"
Independent School Distirct of Boise,Boise,ID,83709,u215x100371,"Boise, ID 83709
(43.55, -116.29)"
Dickson County (Tennessee) Board of Education,Dickson,TN,37055,u215x100372,"Dickson, TN 37055
(36.08, -87.44)"
Bonneville Joint School District No. 93,Idaho Falls,ID,83401,u215x100373,"Idaho Falls, ID 83401
(43.53, -111.88)"
Region 7 Education Service Center,Kilgore,TX,75662,u215x100374,"Kilgore, TX 75662
(32.38, -94.87)"
North Carolina School of Science and Mathematics,Durham,NC,27705,u215x100376,"Durham, NC 27705
(36.02, -78.98)"
Clayton County Public Schools,Jonesboro,GA,30236,u215x100377,"Jonesboro, GA 30236
(33.52, -84.32)"
Manchester Academic Charter School,Pittsburgh,PA,15233,u215x100378,"Pittsburgh, PA 15233
(40.46, -80.03)"
Great Hearts Academies,Phoenix,AZ,85008,u215x100379,"Phoenix, AZ 85008
(33.46, -111.99)"
Lafourche Parish School Board,Thibodaux,LA,70302,u215x100380,"Thibodaux, LA 70302
(29.79, -90.82)"
ONSLOW COUNTY SCHOOLS,JACKSONVILLE,NC,28540,u215x100382,"JACKSONVILLE, NC 28540
(34.76, -77.5)"
Capitol Region Education Council,Hartford,CT,6106,u215x100383,"Hartford, CT 6106
(41.75, -72.7)"
Thornton Township High Schools District 205,South Holland,IL,60473,u215x100384,"South Holland, IL 60473
(41.6, -87.6)"
HENRY COUNTY PUBLIC SCHOOLS,COLLINSVILLE,VA,24078,u215x100385,"COLLINSVILLE, VA 24078
(36.72, -79.91)"
Virginia Beach City Public Schools,Virginia Beach,VA,23456,u215x100386,"Virginia Beach, VA 23456
(36.71, -76.01)"
Kingfisher Public School District,Kingfisher,OK,73750,u215x100387,"Kingfisher, OK 73750
(35.86, -97.95)"
Copper Country Intermediate School District,Hancock,MI,49930,u215x100388,"Hancock, MI 49930
(47.17, -88.57)"
Black Hills Special Services,Sturgis,SD,57785,u215x100390,"Sturgis, SD 57785
(44.42, -103.2)"
Lincoln County School District R-2,Elsberrry,MO,63343,u215x100393,"Elsberrry, MO 63343
(39.16, -90.83)"
Xenia Community Schools,Xenia,OH,45385,u215x100394,"Xenia, OH 45385
(39.67, -83.91)"
Southwest Plains Regional Service Center,Sublette,KS,67877,u215x100395,"Sublette, KS 67877
(37.55, -100.84)"
Smithtown Central School District,Smithtown,NY,11787,u215x100398,"Smithtown, NY 11787
(40.85, -73.21)"
Bibb County Public School District,Centreville,AL,35042,u215x100399,"Centreville, AL 35042
(32.95, -87.13)"
School District of the City of Detroit,Detroit,MI,48202,u215x100400,"Detroit, MI 48202
(42.38, -83.08)"
Pike County School System,Pikeville,KY,41501,u215x100401,"Pikeville, KY 41501
(37.52, -82.52)"
Warren County School District,North Warren,PA,16365,u215x100402,"North Warren, PA 16365
(41.84, -79.18)"
Kentucky Valley Educational Cooperative,Hazard,KY,41701,u215x100404,"Hazard, KY 41701
(37.3, -83.18)"
Mountain Lakes School District,Mountain Lakes,NJ,7046,u215x100406,"Mountain Lakes, NJ 7046
(40.89, -74.44)"
Saint Paul Public Schools,Saint Paul,MN,55102,u215x100407,"Saint Paul, MN 55102
(44.93, -93.12)"
Glynn County Schools,Brunswick,GA,31520,u215x100409,"Brunswick, GA 31520
(31.17, -81.48)"
Hillsborough County Public Schools,Tampa,FL,33602,u215x100410,"Tampa, FL 33602
(27.96, -82.46)"
Franklin County Board of Education,Frankfort,KY,40601,u215x100411,"Frankfort, KY 40601
(38.23, -84.88)"
Hampshire Educational Collaborative,Northampton,MA,1060,u215x100412,"Northampton, MA 1060
(42.32, -72.63)"
Watchung Hills Regional High School,Warren,NJ,7059,u215x100413,"Warren, NJ 7059
(40.63, -74.51)"
El Monte Union High School District,El Monte,CA,91731,u215x100414,"El Monte, CA 91731
(34.08, -118.04)"
Imperial County Office of Education,El Centro,CA,92243,u215x100415,"El Centro, CA 92243
(32.77, -115.6)"
The Renaissance Charter School,Jackson Heights,NY,11372,u215x100416,"Jackson Heights, NY 11372
(40.75, -73.88)"
Lancaster-Lebanon Intermediate Unit 13,Lancaster,PA,17601,u215x100417,"Lancaster, PA 17601
(40.07, -76.32)"
NCEC/Bottineau Public School,Bottineau,ND,58318,u215x100419,"Bottineau, ND 58318
(48.86, -100.41)"
La Joya Independent School District,La Joya,TX,78560,u215x100422,"La Joya, TX 78560
(26.24, -98.49)"
Laredo Independent School District,Laredo,TX,78043,u215x100425,"Laredo, TX 78043
(27.56, -99.16)"
Chester Upland School District,Chester,PA,19013,u215x100427,"Chester, PA 19013
(39.85, -75.37)"
Reading School District,Reading,PA,19601,u215x100428,"Reading, PA 19601
(40.35, -75.94)"
Bay-Arenac Intermediate School District,Bay City,MI,48706,u215x100429,"Bay City, MI 48706
(43.6, -83.96)"
Northwest Educational Service District 189,Anacortes,WA,98221,u215x100430,"Anacortes, WA 98221
(48.5, -122.65)"
Vineland Public Schools,Vineland,NJ,8361,u215x100431,"Vineland, NJ 8361
(39.45, -74.96)"
"Chicago Public Schools, District #299",Chicago,IL,60603,u215x100432,"Chicago, IL 60603
(41.88, -87.63)"
Chichester School District,Aston,PA,19014,u215x100433,"Aston, PA 19014
(39.86, -75.43)"
Newark Charter School,Newark,DE,19711,u215x100434,"Newark, DE 19711
(39.71, -75.74)"
Cypress Fairbanks Independent School District,Houston,TX,77065,u215x100435,"Houston, TX 77065
(29.93, -95.6)"
Polson Public Schools #23,Polson,MT,59860,u215x100436,"Polson, MT 59860
(47.7, -114.19)"
Twin Rivers Unified School District,North Highlands,CA,95660,u215x100439,"North Highlands, CA 95660
(38.67, -121.38)"
Madison-Oneida BOCES,Verona,NY,13478,u215x100441,"Verona, NY 13478
(43.15, -75.58)"
Dougherty County School System,Albany,GA,31701,u215x100442,"Albany, GA 31701
(31.57, -84.16)"
Fitchburg Public Schools,Fitchburg,MA,1420,u215x100443,"Fitchburg, MA 1420
(42.59, -71.82)"
Hamilton County Educational Service Center,Cincinnati,OH,45229,u215x100444,"Cincinnati, OH 45229
(39.15, -84.49)"
Roxbury Township Public Schools,Succasunna,NJ,7876,u215x100445,"Succasunna, NJ 7876
(40.85, -74.65)"
HAMPTON CITY SCHOOLS,HAMPTON,VA,23669,u215x100448,"HAMPTON, VA 23669
(37.05, -76.34)"
Cooperating School Districts,St. Louis,MO,63146,u215x100449,"St. Louis, MO 63146
(38.7, -90.48)"
Burke County Public Schools,Morganton,NC,28655,u215x100450,"Morganton, NC 28655
(35.76, -81.75)"
Rio Rancho Public Schools,Rio Rancho,NM,87124,u215x100451,"Rio Rancho, NM 87124
(35.25, -106.73)"
Fargo Public School - District #1,Fargo,ND,58102,u215x100452,"Fargo, ND 58102
(46.92, -96.83)"
Nataki Talibah Schoolhouse of Detroit,Detroit,MI,48219,u215x100453,"Detroit, MI 48219
(42.43, -83.25)"
Jefferson Davis Parish School Board,Jennings,LA,70546,u215x100454,"Jennings, LA 70546
(30.27, -92.67)"
East Orange School District,East Orange,NJ,7017,u215x100455,"East Orange, NJ 7017
(40.77, -74.21)"
Joliet Township High School District 204,Joliet,IL,60436,u215x100456,"Joliet, IL 60436
(41.49, -88.12)"
Lenawee Intermediate School District,Adrian,MI,49221,u215x100457,"Adrian, MI 49221
(41.9, -84.06)"
Seattle Public Schools,Seattle,WA,98124,u215x100458,"Seattle, WA 98124
(47.62, -122.35)"
Winona Public School District,Winona,MS,38967,u215x100461,"Winona, MS 38967
(33.47, -89.73)"
Archuleta School District 50 Joint,Pagosa Springs,CO,81147,u215x100463,"Pagosa Springs, CO 81147
(37.29, -107.11)"
Weymouth Public Schools,Weymouth,MA,2189,u215x100465,"Weymouth, MA 2189
(42.21, -70.93)"
Board of Education of the Township of Cherry Hill,Cherry Hill,NJ,8034,u215x100466,"Cherry Hill, NJ 8034
(39.91, -75)"
Logan County Public School District,Russellville,KY,42276,u215x100467,"Russellville, KY 42276
(36.86, -86.88)"
LEARN -- Professional Development,Old Lyme,CT,6371,u215x100468,"Old Lyme, CT 6371
(41.37, -72.32)"
Millville Public Schools,Millville,NJ,8332,u215x100469,"Millville, NJ 8332
(39.37, -75.04)"
Freeport Public Schools,Freeport,NY,11520,u215x100470,"Freeport, NY 11520
(40.65, -73.58)"
Thomas A Edison Charter Shool,Wilmington,DE,19802,u215x100471,"Wilmington, DE 19802
(39.75, -75.53)"
Flint Community Schools,Flint,MI,48503,u215x100474,"Flint, MI 48503
(43.01, -83.69)"
Gadsden City Board of Education,Gadsden,AL,35903,u215x100475,"Gadsden, AL 35903
(34.03, -85.86)"
Enlarged City School District of Middletown,Middletown,NY,10940,u215x100476,"Middletown, NY 10940
(41.45, -74.47)"
Blue Springs R-IV School District,Blue Springs,MO,64015,u215x100477,"Blue Springs, MO 64015
(39.02, -94.3)"
Kearny School District,Kearny,NJ,7032,u215x100478,"Kearny, NJ 7032
(40.75, -74.12)"
San Diego County Superintendent of Schools,San Diego,CA,92111,u215x100479,"San Diego, CA 92111
(32.81, -117.17)"
SPOKANE SCHOOL DISTRICT #81,SPOKANE,WA,99201,u215x100480,"SPOKANE, WA 99201
(47.66, -117.43)"
Harlan Independent School District,Harlan,KY,40831,u215x100481,"Harlan, KY 40831
(36.76, -83.34)"
Mountain Board of Cooperative Educationa,Leadville,CO,80461,u215x100482,"Leadville, CO 80461
(39.21, -106.35)"
Natrona County School District,Casper,WY,82601,u215x100484,"Casper, WY 82601
(43, -106.35)"
Educational Service Center of Cuyahoga County,Valley View,OH,44125,u215x100485,"Valley View, OH 44125
(41.41, -81.61)"
Marietta Independent School District,Marietta,GA,30060,u215x100487,"Marietta, GA 30060
(33.92, -84.54)"
Tangipahoa Parish School System,Amite,LA,70422,u215x100489,"Amite, LA 70422
(30.73, -90.5)"
Evergreen Public Schools 114,Vancouver,WA,98668,u215x100491,"Vancouver, WA 98668
(45.64, -122.6)"
Evanston Community Consolidated School District 65,Evanston,IL,60201,u215x100492,"Evanston, IL 60201
(42.06, -87.7)"
Stillman College,Tuscaloosa,AL,35401,u215x100494,"Tuscaloosa, AL 35401
(33.17, -87.61)"
Andalusia City Schools,Andalusia,AL,36420,u215x100495,"Andalusia, AL 36420
(31.24, -86.55)"
Caldwell County Schools,Lenoir,NC,28645,u215x100496,"Lenoir, NC 28645
(35.98, -81.55)"
